geo_type,region,transportation_type,alternative_name,sub-region,country,Date,Frequency
city,Charlotte,driving,NA,North Carolina,United States,2020-10-25,101.55
city,Charlotte,driving,NA,North Carolina,United States,2020-10-26,120.9
city,Charlotte,driving,NA,North Carolina,United States,2020-10-27,124.67
city,Charlotte,driving,NA,North Carolina,United States,2020-10-28,121.41
city,Charlotte,driving,NA,North Carolina,United States,2020-10-29,125.53
city,Charlotte,driving,NA,North Carolina,United States,2020-10-30,160.7
city,Charlotte,driving,NA,North Carolina,United States,2020-10-31,152.32
city,Charlotte,driving,NA,North Carolina,United States,2020-11-01,98.42
city,Charlotte,driving,NA,North Carolina,United States,2020-11-02,117.21
city,Charlotte,driving,NA,North Carolina,United States,2020-11-03,121.94
city,Charlotte,driving,NA,North Carolina,United States,2020-11-04,112
city,Charlotte,driving,NA,North Carolina,United States,2020-11-05,120.2
city,Charlotte,driving,NA,North Carolina,United States,2020-11-06,142.8
city,Charlotte,driving,NA,North Carolina,United States,2020-11-07,136.1
city,Charlotte,driving,NA,North Carolina,United States,2020-11-08,99.32
city,Charlotte,driving,NA,North Carolina,United States,2020-11-09,110.54
city,Charlotte,driving,NA,North Carolina,United States,2020-11-10,114.95
city,Charlotte,driving,NA,North Carolina,United States,2020-11-11,114.13
city,Charlotte,driving,NA,North Carolina,United States,2020-11-12,110.94
city,Charlotte,driving,NA,North Carolina,United States,2020-11-13,144.74
city,Charlotte,driving,NA,North Carolina,United States,2020-11-14,138.55
city,Charlotte,driving,NA,North Carolina,United States,2020-11-15,97.4
city,Charlotte,driving,NA,North Carolina,United States,2020-11-16,111.77
city,Charlotte,driving,NA,North Carolina,United States,2020-11-17,113.87
city,Charlotte,driving,NA,North Carolina,United States,2020-11-18,116.22
city,Charlotte,driving,NA,North Carolina,United States,2020-11-19,121.35
city,Charlotte,driving,NA,North Carolina,United States,2020-11-20,144.95
city,Charlotte,driving,NA,North Carolina,United States,2020-11-21,140.22
city,Charlotte,driving,NA,North Carolina,United States,2020-11-22,98.53
city,Charlotte,driving,NA,North Carolina,United States,2020-11-23,118.04
city,Charlotte,driving,NA,North Carolina,United States,2020-11-24,125.41
city,Charlotte,driving,NA,North Carolina,United States,2020-11-25,132.27
city,Charlotte,driving,NA,North Carolina,United States,2020-11-26,63.6
city,Charlotte,driving,NA,North Carolina,United States,2020-11-27,112.28
city,Charlotte,driving,NA,North Carolina,United States,2020-11-28,117.34
city,Charlotte,driving,NA,North Carolina,United States,2020-11-29,90.81
city,Charlotte,driving,NA,North Carolina,United States,2020-11-30,109.37
city,Charlotte,driving,NA,North Carolina,United States,2020-12-01,113.13
city,Charlotte,driving,NA,North Carolina,United States,2020-12-02,114.98
city,Charlotte,driving,NA,North Carolina,United States,2020-12-03,118.35
city,Charlotte,driving,NA,North Carolina,United States,2020-12-04,133.8
city,Charlotte,driving,NA,North Carolina,United States,2020-12-05,135.66
city,Charlotte,driving,NA,North Carolina,United States,2020-12-06,95.56
city,Charlotte,driving,NA,North Carolina,United States,2020-12-07,108.61
city,Charlotte,driving,NA,North Carolina,United States,2020-12-08,112.91
city,Charlotte,driving,NA,North Carolina,United States,2020-12-09,115.39
city,Charlotte,driving,NA,North Carolina,United States,2020-12-10,120.17
city,Charlotte,driving,NA,North Carolina,United States,2020-12-11,138.58
city,Charlotte,driving,NA,North Carolina,United States,2020-12-12,134.9
city,Charlotte,driving,NA,North Carolina,United States,2020-12-13,99.92
city,Charlotte,driving,NA,North Carolina,United States,2020-12-14,108.26
city,Charlotte,driving,NA,North Carolina,United States,2020-12-15,118.62
city,Charlotte,driving,NA,North Carolina,United States,2020-12-16,108.38
city,Charlotte,driving,NA,North Carolina,United States,2020-12-17,123.57
city,Charlotte,driving,NA,North Carolina,United States,2020-12-18,143.97
city,Charlotte,driving,NA,North Carolina,United States,2020-12-19,135.24
